id,label,tweet
4,0,i love u take with u all the time in ur!!!
5,0,factsguide: society now
6,0,[2/2] huge fan fare and big talking before they leave. chaos and pay disputes when they get there.
7,0,camping tomorrow danny
8,0,the next school year is the year for exams. can't think about that
9,0,we won!!! love the land!!!
11,0,consumer price index (mom) climbed from previous 0.2% to 0.5% in may
12,0,we are so selfish. #
13,0,i get to see my daddy today!!
16,0,ouch...junior is angry
17,0,i am thankful for having a paner.
20,0,"as we all know, essential oils are not made of chemicals."
21,0,people blaming ha for conceded goal was it fat rooney who gave away free kick knowing bale can hit them from there.
22,0,sad little dude..
23,0,product of the day: happy man tool who's it's the time to open up drink up!
26,0,beautiful sign by vendor 80 for $45.00!!
27,0,all when is !! in ! sunday love!
28,0,we had a great panel on the mediatization of the public service
29,0,happy father's day
31,0,i have never had a chance to vote for a presidential candidate i was excited about and this cycle looks to be no different.
32,0,does
33,0,"rip to the fellow nohern ireland fan who sadley passed away tonight!.. gawa, forever singing and cheering on fire"
37,0,morning~~
39,0,"oh, waited 2 hours in the valravn line and it stopped working. we were so close."
40,0,i am thankful for sunshine.
41,0,when you finally finish a book you've been working on for awhile...
42,0,"yup, being a knicks fan is hard, so its easier to just be an nba fan when the playoffs roll around"
43,0,there is life after social networking. embrace each day. be
44,0,my mom shares the same bihday as bihday snake! see you this weekend
46,0,i am amazing.
47,0,i love u take with u all the time in ur!!!
48,0,im and goes |
49,0,feeling blue
51,0,getting ready 2 remove the victums frm
52,0,for her we got her a we love you
53,0,off to concelebrate at the for the first time.
54,0,let the scum-baggery begin.....
56,0,a scourge on those playing baroque pieces on piano beyond belief
58,0,"happy fathers day, mr. rayos"
59,0,ascot times with this babe
61,0,happy at work conference: right' mindset leads to culture-of-development organizations
62,0,christina grimmie's last performance before being shot... via
65,0,my wife whom i adore had to miss your poland show because she had surgery. her name is bridget she's my everything.
66,0,i am so jealous of you right now....
68,0,i'm sure they are just as happy.... hour
70,0,good morning! the journey begins!
71,0,# if you like this from
